Avance,Contratista,Departamento - Ciudad,Estado,Extensión de la Obra,Fecha de Finalización,Fecha de Inicio,Fuente de Financiación,Información Adicional,Inversión,Localidades Beneficiadas,Nombre,Plazo de Ejecución (en meses),Tipo
"Total: 45,5 km.",Posta Ybycuá Ruta Nº 1 Km 20 - Col. Thompson: Long. 9 km.,Central - San Lorenzo,FINALIZADA,"Ruta Nº 1 (J. Augusto Saldívar) - Rosado Guasu: Long. 5,5 km.","Reducto (Cuartel de la Victoria-Empalme ruta San Lorenzo) – Ñemby: Long. 2,5 km.","Ypané (Potrerito) - Guarambaré: Long. 1,8 km.",DC Ingeniería S.A.,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 1. Lote 1
Tramos incluidos en el contrato:
Capiatá Ruta Nº 2 Km 21 – Posta Ybycuá Ruta Nº 1 Km 20: Long. 45,5 km.","45,5 kms.",Itá (Ruta Nº 1 Km 34) – Compañía Aveiro – Hospital Nacional: Long. 6 km.,Pavimentación de tramos alimentadores de la Red Vial Nacional.,"Pirayú-Azcurra-Caacupé: Long. 16,2 km.",Pavimentación Asfáltica
100%,Talavera Ortellado Construcciones S.A. (T.O.C. S.A.),Central - Luque,FINALIZADA,"48,6 Kms.","Lun, 14 Diciembre 2015","Vie, 19 Diciembre 2014",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 1. Lote 2
Tramos incluidos en el contrato:
Yuquyty - Costa Fleitas (Empalme Ruta Areguá-Capiatá): Long. 8 km.
Ruta Nº 2 (Km 18) - Luque (Por Paso Sana): Long. 12 km.
Altos – Atyrá: Long. 9,2 km.
Pedrozo (Ruta Nº 2 Km 45)-Cñía Pirayuí – San Bernardino: Long. 9,4 km.
Luque – Limpio – Cía. Isla Aranda – Empalme Ruta Luque - San Bernardino: Long. 6 km.
Calle América (Luque – Autopista): Long. 4 km.
Total 48,6 Kms.",Gs. 41.522.780.019,Areguá - Capiatá - Luque - Altos – Atyrá - Pedrozo - Pirayú - San Bernardino,Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 1. Lote 2,6,Pavimentación Asfáltica
95%,Consorcio D-R,Central - Limpio,EN CONSTRUCCIÓN,"11,5 Kms.","Sáb, 19 Agosto 2017","Mié, 31 Diciembre 2014",Fondo Local,"Construcción de la Ampliación de la Ruta Nº 3 Gral. Elizardo Aquino, Tramo: Mariano Roque Alonso – Limpio (Duplicación)
La longitud de la obra es de 11 km, dividido en tres secciones: ampliación Ruta 3, tramo Mariano Roque Alonso Limpio = 5.3 km; circunvalación de la ciudad de Limpio = 5.1 km y el mejoramiento de tramo el centro urbano de Limpio = 0,6 km.",Gs. 182.999.373.356,Mariano Roque Alonso – Limpio,"Construcción de la Ampliación de la Ruta Nº 3 Gral. Elizardo Aquino, Tramo: Mariano Roque Alonso – Limpio (Duplicación)",32,Pavimentación Asfáltica
72%,Corporación Constructiva S.A.,Cordillera - Tobatí,EN CONSTRUCCIÓN,6 kms,"Vie, 11 Noviembre 2016","Lun, 08 Abril 2013",Fondo Local,Pavimentación tipo empedrado del tramo Tobati - Monte Alto.,Gs. 14.067.076.688,Tobati - Atyra,Pavimentación tipo empedrado del tramo Tobati - Monte Alto,,Pavimentación Tipo Empedrado
100%,DC Ingeniería S.A.,Presidente Hayes - Nanawa,FINALIZADA,5 kms,"Mar, 17 Junio 2014","Mié, 23 Enero 2013",Fondo Local,Rehabilitación y Pavimentación del tramo Acceso a la ciudad de Nanawa.,Gs. 14.448.908.549,Nanawa,Rehabilitación y Pavimentación del tramo Acceso a la ciudad de Nanawa,,Pavimentación Asfáltica
98%,Consorcio Nacional Misionero,Misiones - San Ignacio,EN CONSTRUCCIÓN,24.60 kms.,"Vie, 07 Octubre 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Santa Rita - San Ignacio.,Gs. 27.282.855.745,San Ignacio,Pavimentación tipo empedrado del tramo Santa Rita - San Ignacio.,,Pavimentación Tipo Empedrado
66%,Covipa S.A.,Misiones - Yabebyry,EN CONSTRUCCIÓN,35.50 kms.,"Sáb, 14 Enero 2017","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Yabebyry - Santa Rita.,Gs. 44.724.775.401,Yabebyry - San Ignacio,Pavimentación tipo empedrado del tramo Yabebyry - Santa Rita.,,Pavimentación Tipo Empedrado
98%,Consorcio Victoria,Canindeyú - La Paloma,EN CONSTRUCCIÓN,"28,35 Kms.","Vie, 30 Marzo 2018","Lun, 02 Febrero 2015",Fondo Local,"Construccion de Obras de Caminos Vecinales en los Departamentos de Itapua, Alto Parana, Canindeyú y Amambay
Lote 5: Canindeyu – Tramo 5.02.1 – Ruta 10 – Guadalupe (Longitud 23,81) y Tramo 5.02.2 – Colonia Guadalupe – Camino 3 (Longitud 4,54): Consorcio Victoria (Taivo Construcciones S.A.-Constructa S.A.), por Gs. 16.877.632.430.",Gs. 19.550.842.992,La Paloma - Colonia Guadalupe 02/02/2015 17/02/2017,"Construccion de Obras de Caminos Vecinales en los Departamentos de Itapua, Alto Parana, Canindeyú y Amambay",37,Ripio / Empedrado
85%,EDB Construcciones,Itapúa - San Pedro del Paraná,EN CONSTRUCCIÓN,27.56,"Lun, 12 Diciembre 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo San Solano - Fleitas Cué.,Gs. 29.246.086.248,San Pedro del Paraná,Pavimentación tipo empedrado del tramo San Solano - Fleitas Cué.,,Pavimentación Tipo Empedrado
100%,Sotec S.A.,Itapúa - General Delgado,FINALIZADA,"21,50 Kms.","Lun, 11 Diciembre 2017","Lun, 02 Febrero 2015",BID,Construccion de Obras de Caminos Vecinales en el tramo Gral. Delgado - San Dionisio - Cristo Rey - Potrero Ybate,Gs. 12.900.885.097,Gral. Delgado - San Dionisio - Cristo Rey - Potrero Ybate,Construccion de Obras de Caminos Vecinales en el tramo Gral. Delgado - San Dionisio - Cristo Rey - Potrero Ybate,33,Ripio / Empedrado
88%,Sotec S.A.,Itapúa - San Pedro del Paraná,EN CONSTRUCCIÓN,38.50,"Sáb, 07 Enero 2017","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo San Solano - Pindoyu.,Gs. 48.251.325.483,San Pedro del Paraná,Pavimentación tipo empedrado del tramo San Solano - Pindoyu.,,Pavimentación Tipo Empedrado
100%,Sotec S.A.,Itapúa - Mayor Otaño,FINALIZADA,"28,65 kms","Mié, 06 Diciembre 2017","Lun, 02 Febrero 2015",BID,"Construcción de obras de la muestra de Caminos
Vecinales en los Departamentos de Itapúa, Alto
Paraná, Canindeyú y Amambay. Programa Nacional
de Caminos Rurales – 2da Etapa – Fase II, Tramo
2.06 – Iruña – Empalme Ruta Frutika – Mayor Otaño.",Gs. 18.710.298.095,Iruña - Mayor Otaño - Carlos Antonio López,Construccion de Obras de Caminos Vecinales en el tramo Iruña - Emp ruta Frutika - M. Otaño,33,Ripio / Empedrado
98%,Constructora Isacio Vallejos,Concepción - Concepción,EN CONSTRUCCIÓN,727,"Mié, 03 Agosto 2016","Mar, 04 Agosto 2015",Fondo Local,Señalización Horizontal en varios tramos de la Red Vial Nacional. Lote N° 2,Gs. 13.099.999.992,"Concepción, San Pedro, Amambay y Canindeyú",Señalización Horizontal en varios tramos de la Red Vial Nacional.,,Señalización Horizontal
68%,Covipa S.A.,Alto Paraná - Minga Porá,EN CONSTRUCCIÓN,"24,50 Kms.","Mar, 31 Julio 2018","Lun, 02 Febrero 2015",BID,Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 1),Gs. 13.186.790.207,Asentamiento Santa María,Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 1),29,Ripio / Empedrado
59%,Covipa S.A.,Alto Paraná - Minga Porá,EN CONSTRUCCIÓN,"24,26 Kms.","Lun, 25 Junio 2018","Lun, 02 Febrero 2015",BID,Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 2),Gs. 12.607.907.906,Asentamiento Santa María,Construccion de Obras de Caminos Vecinales en el tramo Supercarretera - Asentamiento Santa María (Sección 2),28,Ripio / Empedrado
99%,Consorcio Arrecife,Itapúa - Alto Verá,EN CONSTRUCCIÓN,31.90 kms,"Jue, 06 Julio 2017","Lun, 07 Enero 2013",Fondo Local,Pavimentación tipo empedrado del tramo Fleitas Cué - Rio Tebicuary. (Grupo 4),Gs. 55.692.542.427,San Pedro del Paraná - Alto Verá,Pavimentación tipo empedrado del tramo Fleitas Cué - Rio Tebicuary.,,Pavimentación Tipo Empedrado
100%,MM S.A.,Itapúa - Alto Verá,FINALIZADA,12 kms,"Sáb, 28 Mayo 2016","Lun, 07 Enero 2013",Fondo Local,Pavimentación asfáltica del tramo Alto Vera (Caronay) - Ynambu - Perlita Tanque.,Gs. 22.019.029.863,Alto Verá,Pavimentación asfáltica del tramo Alto Vera (Caronay) - Ynambu - Perlita Tanque.,,Pavimentación Asfáltica
0%,Abatte y Asociados Constructora,San Pedro - Capiibary,FINALIZADA,90,"Sáb, 02 Julio 2016","Mié, 08 Julio 2015",Fondo Local,"Llamado MOPC 02-15 - Servicios de Reparaciòn y Manteniemiento de Puentes de Madera en los Departamentos de Concepción, San Pedro y Canindeyú, convocado por la Direcciòn de Caminos Vecinales del MOPC",Gs. 1.200.000.000,Concepción - San Pedro - Canindeyú,"Servicios de Reparaciòn y Manteniemiento de Puentes de Madera en los Departamentos de Concepción, San Pedro y Canindeyú, convocado por la Direcciòn de Caminos Vecinales del MOPC",12,Reparación y Mantenimiento de Puente
0%,Abatte y Asociados Constructora,Concepción - Concepción,FINALIZADA,,"Sáb, 15 Octubre 2016","Mié, 15 Julio 2015",Fondo Local,"Llamado MOPC 03-15 - Servicios de colocación de alcantarillas celulares y tubulares en los Departamentos de Concepcción, San Pedro y Canindeyú. Lote 1",Gs. 4.500.000.000,Concepción - San Pedro - Canindeyú,"Servicios de colocaciòn de alcantarillas celulares y tubulares en los Departamentos de Concepcciòn, San Pedro y Canindeyù. Lote 1",15,Construcción de Alcantarillas
